year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2024-04,Green,Packets (5kg - 10kg),3310.0,
2024-04,Instant,Packets (>3kg),126554.41,
2024-04,Instant,Packets (4g-1kg),210.0,
2024-05,Black,Bags,465860.98,
2024-05,Black,Bulk,223548.95,
2024-05,Black,Packets (4g - 1kg),129931.54,
2024-05,Green,Bags,116791.97,
2024-05,Green,Bulk,9495.0,
2024-05,Green,Packets (1Kg - 3kg),60.0,
2024-05,Green,Packets (3kg - 5kg),6250.0,
2024-05,Green,Packets (4g - 1kg),36539.49,
2024-05,Green,Packets (5kg - 10kg),295.2,
2024-05,Instant,Packets (>3kg),188366.74,
2024-06,Black,Bags,412533.54,
2024-06,Black,Bulk,212619.45,
2024-06,Black,Packets (1Kg-3Kg),17772.0,
2024-06,Black,Packets (3Kg-5Kg),189.2,
2024-06,Black,Packets (4g-1Kg),280287.38,
2024-06,Black,Packets (5Kg-10Kg),6720.0,
2024-06,Green,Bags,86412.68,
2024-06,Green,Bulk,25760.0,
2024-06,Green,Packets (1Kg-3Kg),5.88,
2024-06,Green,Packets (3Kg-5Kg),6250.0,
2024-06,Green,Packets (4g-1Kg),48732.75,
2024-06,Green,Packets (5Kg-10Kg),1740.0,
2024-06,Instant,Packets (>3Kg),204641.1,
