year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2022-02,Black,Packets (5kg - 10kg),2073265.5,726.43
2022-02,Green,Bags,41747.56,3672.08
2022-02,Green,Bulk,28941.0,1212.65
2022-02,Green,Packets (4g - 1kg),63834.35,2040.99
2022-02,Green,Packets (1kg - 3kg),762.0,1849.29
2022-02,Green,Packets (3kg - 5kg),850.0,818.65
2022-02,Green,Packets (5kg - 10kg),1082.48,3016.35
2022-02,Instant,Packets (>3kg),240622.1,1798.42
2022-03,Black,Bags,1777488.78,
2022-03,Black,Bulk,9306317.6,
2022-03,Black,Packets (4g - 1kg),6200960.13,
2022-03,Black,Packets (1kg - 3kg),306990.63,
2022-03,Black,Packets (3kg - 5kg),1109314.12,
2022-03,Black,Packets (5kg - 10kg),3327773.25,
2022-03,Green,Bags,61057.67,
2022-03,Green,Bulk,16505.0,
2022-03,Green,Packets (4g - 1kg),39370.76,
2022-03,Green,Packets (1kg - 3kg),240.0,
2022-03,Green,Packets (3kg - 5kg),5.0,
2022-03,Green,Packets (5kg - 10kg),710.0,
2022-03,Instant,Packets (>3kg),204944.8,
2022-04,Black,Bags,1456515.88,
2022-04,Black,Bulk,8288125.55,
2022-04,Black,Packets (4g - 1kg),4716012.67,
2022-04,Black,Packets (1kg - 3kg),229366.6,
2022-04,Black,Packets (3kg - 5kg),902518.64,
2022-04,Black,Packets (5kg - 10kg),1817632.0,
2022-04,Green,Bags,46410.42,
2022-04,Green,Bulk,21441.12,
2022-04,Green,Packets (4g - 1kg),46559.08,
2022-04,Green,Packets (1kg - 3kg),1155.0,
2022-04,Green,Packets (5kg - 10kg),600.0,
2022-04,Instant,Packets (>3kg),154002.6,
2022-05,Black,Bags,1459561.36,
2022-05,Black,Bulk,7840765.74,
2022-05,Black,Packets (4g - 1kg),5955275.87,
2022-05,Black,Packets (1kg - 3kg),147169.15,
2022-05,Black,Packets (3kg - 5kg),903716.44,
2022-05,Black,Packets (5kg - 10kg),2304215.12,
2022-05,Green,Bags,62680.25,
2022-05,Green,Bulk,25776.48,
2022-05,Green,Packets (4g - 1kg),73292.25,
2022-05,Green,Packets (3kg - 5kg),350.0,
2022-05,Green,Packets (5kg - 10kg),400.0,
2022-05,Instant,Packets (>3kg),254631.1,
2022-06,Black,Bags,1660334.64,
2022-06,Black,Bulk,10094103.67,
2022-06,Black,Packets (4g - 1kg),7002072.46,
2022-06,Black,Packets (1kg - 3kg),305719.88,
2022-06,Black,Packets (3kg - 5kg),867571.04,
2022-06,Black,Packets (5kg - 10kg),2370249.5,
2022-06,Green,Bags,76208.2,
2022-06,Green,Bulk,33510.68,
2022-06,Green,Packets (4g - 1kg),82339.1,
2022-06,Green,Packets (1kg - 3kg),1455.0,
2022-06,Green,Packets (5kg - 10kg),14837.0,
2022-06,Instant,Packets (>3kg),204398.2,
2022-07,Black,Bags,1652226.85,
2022-07,Black,Bulk,9767287.04,
2022-07,Black,Packets (4g - 1kg),6771960.68,
2022-07,Black,Packets (1kg - 3kg),83080.96,
2022-07,Black,Packets (3kg - 5kg),759867.52,
2022-07,Black,Packets (5kg - 10kg),2626594.0,
2022-07,Green,Bags,56232.9,
2022-07,Green,Bulk,17215.0,
2022-07,Green,Packets (4g - 1kg),68889.79,
2022-07,Green,Packets (5kg - 10kg),123.0,
2022-07,Green,Packets (>3kg),266646.8,
2022-07,Instant,Packets (4g - 1kg),0.2,
2022-08,Black,Bags,1538250.83,
2022-08,Black,Bulk,10676413.68,
2022-08,Black,Packets (4g - 1kg),5462277.99,
2022-08,Black,Packets (1kg - 3kg),292897.76,
2022-08,Black,Packets (3kg - 5kg),992937.04,
2022-08,Black,Packets (5kg - 10kg),2829119.6,
2022-08,Green,Bags,75015.15,
2022-08,Green,Bulk,35019.36,
2022-08,Green,Packets (4g - 1kg),82915.13,
2022-08,Green,Packets (1kg - 3kg),1000.0,
2022-08,Green,Packets (3kg - 5kg),5320.0,
2022-08,Green,Packets (5kg - 10kg),1743.0,
2022-08,Instant,Packets (>3kg),221718.0,
2022-08,Instant,Packets (4g - 1kg),0.2,
2022-09,Black,Bags,1424140.43,
2022-09,Black,Bulk,9638663.37,
2022-09,Black,Packets (4g - 1kg),5662422.28,
2022-09,Black,Packets (1kg - 3kg),357257.87,
2022-09,Black,Packets (3kg - 5kg),1035590.84,
2022-09,Black,Packets (5kg - 10kg),2134653.0,
2022-09,Green,Bags,64073.94,
2022-09,Green,Bulk,14517.32,
2022-09,Green,Packets (3kg - 5kg),20.0,
2022-09,Green,Packets (5kg - 10kg),130.0,
2022-09,Instant,Bags,18.2,
2022-09,Instant,Packets (4g - 1kg),275.5,
2022-09,Instant,Packets (>3kg),379880.1,
2022-09,RTD,RTD ( Liters ),360.0,
2022-10,Black,Bags,1450504.67,
2022-10,Black,Bulk,8565899.3,
2022-10,Black,Packets (4g - 1kg),5115166.36,
2022-10,Black,Packets (1kg - 3kg),181740.0,
2022-10,Black,Packets (3kg - 5kg),960816.0,
2022-10,Black,Packets (5kg - 10kg),1591814.5,
2022-10,Green,Bags,59323.73,
2022-10,Green,Bulk,22439.0,
2022-10,Green,Packets (4g - 1kg),64780.26,
2022-10,Green,Packets (1kg - 3kg),1722.0,
2022-10,Green,Packets (3kg - 5kg),255.0,
2022-10,Green,Packets (5kg - 10kg),2550.0,
2022-10,Instant,Packets (>3kg),296374.7,
2022-10,RTD,RTD ( Liters ),340.0,
2022-11,Black,Bags,1436101.11,
2022-11,Black,Bulk,8485155.56,
2022-11,Black,Packets (4g - 1kg),5642009.98,
2022-11,Black,Packets (1kg - 3kg),147794.73,
2022-11,Black,Packets (3kg - 5kg),600016.0,
2022-11,Black,Packets (5kg - 10kg),1816317.32,
2022-11,Green,Bags,53644.48,
