date,usd_lkr
2023-09-19,323.7088
2023-09-20,324.0
2023-09-21,324.7013
2023-09-22,324.6121
2023-09-25,324.4375
2023-09-26,324.5999
2023-09-27,324.4478
2023-10-02,323.5166
2023-10-03,323.8
2023-10-04,323.7654
2023-10-05,323.7722
2023-10-06,323.6946
2023-10-09,323.6117
2023-10-10,323.6026
2023-10-11,323.8082
2023-10-12,323.848
2023-10-13,323.7977
2023-10-16,323.86
2023-10-17,323.9143
2023-10-18,324.1357
2023-10-19,324.38
2023-10-20,324.9747
2023-10-23,325.0
2023-10-24,325.9017
2023-10-25,327.1063
2023-10-26,326.5647
2023-10-27,326.5
2023-10-30,327.13
2023-10-31,327.3817
2023-11-01,327.6173
2023-11-02,328.0343
2023-11-03,329.0615
2023-11-06,328.9773
2023-11-07,327.736
2023-11-08,327.1236
2023-11-09,328.41
2023-11-10,328.461
2023-11-13,327.193
2023-11-14,326.894
2023-11-15,327.3643
2023-11-16,328.6449
2023-11-17,328.0732
2023-11-20,327.9164
2023-11-21,328.0918
2023-11-22,328.3919
2023-11-23,328.4842
2023-11-24,328.7214
2023-11-27,328.7498
2023-11-28,329.0036
2023-11-29,329.509
2023-11-30,329.0423
2023-12-01,327.5552
2023-12-04,327.9839
2023-12-05,328.0314
2023-12-06,328.0175
2023-12-07,327.1342
2023-12-08,326.59
2023-12-11,326.9314
2023-12-12,327.1808
2023-12-13,327.0966
2023-12-14,326.7793
2023-12-15,326.7231
2023-12-18,326.9856
2023-12-19,326.9249
2023-12-20,326.9605
2023-12-21,326.9669
2023-12-22,326.3519
2023-12-27,325.7409
2023-12-28,324.2268
2023-12-29,323.9233
2024-01-01,323.9902
2024-01-02,323.1861
2024-01-03,321.12
2024-01-04,322.2375
2024-01-05,322.4275
2024-01-08,322.4406
2024-01-09,322.4136
2024-01-10,322.6356
2024-01-11,322.83
2024-01-12,322.6884
2024-01-16,322.2038
2024-01-17,321.7534
2024-01-18,321.2243
2024-01-19,320.8826
2024-01-22,320.5246
2024-01-23,320.0536
2024-01-24,319.9412
2024-01-26,319.1591
2024-01-29,317.5185
2024-01-30,317.9432
2024-01-31,317.4089
2024-02-01,316.1275
2024-02-02,314.0218
2024-02-05,311.4132
2024-02-06,312.2364
2024-02-07,314.0343
2024-02-08,313.2212
2024-02-09,313.5869
2024-02-12,313.0338
2024-02-13,313.2487
2024-02-14,313.4241
2024-02-15,313.1705
2024-02-16,312.8934
2024-02-19,312.4391
2024-02-20,312.2604
2024-02-21,312.0305
2024-02-22,311.6802
2024-02-26,311.1185
2024-02-27,310.7593
2024-02-28,310.7494
2024-02-29,310.1532
2024-03-01,309.8946
2024-03-04,309.1297
2024-03-05,308.1077
2024-03-06,307.9685
2024-03-07,307.8186
2024-03-11,307.5613
2024-03-12,307.0298
2024-03-13,306.5707
2024-03-14,306.2613
2024-03-15,305.6448
2024-03-18,305.2394
2024-03-19,304.637
2024-03-20,303.9755
2024-03-21,304.3412
2024-03-22,303.9446
2024-03-25,303.5486
2024-03-26,302.751
2024-03-27,302.0263
2024-03-28,301.1837
2024-04-01,300.4081
2024-04-02,300.1378
2024-04-03,299.9632
2024-04-04,299.8867
2024-04-05,299.8185
2024-04-08,299.3771
2024-04-09,298.9576
2024-04-10,298.6751
2024-04-15,298.4963
2024-04-16,298.9094
2024-04-17,299.8253
2024-04-18,300.9111
2024-04-19,301.2744
2024-04-22,302.0
2024-04-24,301.4613
2024-04-25,298.7161
2024-04-26,297.1631
2024-04-29,296.2033
2024-04-30,296.8561
2024-05-02,297.602
2024-05-03,296.7992
2024-05-06,297.1335
2024-05-07,297.7495
2024-05-08,299.6247
2024-05-09,298.7068
2024-05-10,298.6317
2024-05-13,298.7882
2024-05-14,299.8957
2024-05-15,300.834
2024-05-16,302.2475
2024-05-17,301.3081
2024-05-20,299.8755
2024-05-21,299.8265
2024-05-22,299.7458
2024-05-27,299.9863
2024-05-28,300.4217
2024-05-29,301.2717
2024-05-30,301.51
2024-05-31,301.8883
2024-06-03,301.8946
2024-06-04,301.9524
2024-06-05,302.1706
2024-06-06,302.2895
2024-06-07,302.7081
2024-06-10,302.6971
2024-06-11,303.031
2024-06-12,303.4547
